ID_str,SectionNum,Section,Circumstance,Phraseology,Sender,Receiver,Type,Example,Keywords,Slots
12.3.1.2-a6,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Supersonic aircraft reporting acceleration,“REPORT STARTING ACCELERATION (or DECELERATION).”,ATC,Pilot,Report request,“REPORT STARTING ACCELERATION.”,REPORT STARTING ACCELERATION DECELERATION,or DECELERATION
12.3.1.2-a6,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Supersonic aircraft reporting acceleration,“REPORT STARTING ACCELERATION (or DECELERATION).”,ATC,Pilot,Report request,“REPORT STARTING ACCELERATION.”,REPORT STARTING ACCELERATION DECELERATION,or DECELERATION
12.3.1.2-aa,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Cancel all level restrictions of SID,"“[CLIMB VIA SID TO (level)], CANCEL LEVEL RESTRICTION(S).”",ATC,Pilot,Clearance (amendment),"“CLIMB VIA SID TO FL 200, CANCEL LEVEL RESTRICTIONS.”",CLIMB VIA SID CANCEL LEVEL RESTRICTION,level
12.3.1.2-aa,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Cancel all level restrictions of SID,"“[CLIMB VIA SID TO (level)], CANCEL LEVEL RESTRICTION(S).”",ATC,Pilot,Clearance (amendment),"“CLIMB VIA SID TO FL 200, CANCEL LEVEL RESTRICTIONS.”",CLIMB VIA SID CANCEL LEVEL RESTRICTION,level
12.3.1.2-bb,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Cancel specific level restrictions at point(s) on SID,"“[CLIMB VIA SID TO (level)], CANCEL LEVEL RESTRICTION(S) AT (point(s)).”",ATC,Pilot,Clearance (amendment),“CANCEL LEVEL RESTRICTIONS AT PEST.”,CLIMB VIA SID CANCEL LEVEL RESTRICTION,"level, point(s"
12.3.1.2-bb,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Cancel specific level restrictions at point(s) on SID,"“[CLIMB VIA SID TO (level)], CANCEL LEVEL RESTRICTION(S) AT (point(s)).”",ATC,Pilot,Clearance (amendment),“CANCEL LEVEL RESTRICTIONS AT PEST.”,CLIMB VIA SID CANCEL LEVEL RESTRICTION,"level, point(s"
12.3.1.2-c,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Requesting change of level,“REQUEST LEVEL (or FLIGHT LEVEL or ALTITUDE) CHANGE FROM (name of unit) [AT (time or point)].”,Pilot,ATC,Request,“REQUEST LEVEL CHANGE FROM BUDAPEST CONTROL AT 10:30.”,REQUEST LEVEL FLIGHT ALTITUDE CHANGE FROM,"or FLIGHT LEVEL or ALTITUDE, name of unit, time or point"
12.3.1.2-c,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Requesting change of level,“REQUEST LEVEL (or FLIGHT LEVEL or ALTITUDE) CHANGE FROM (name of unit) [AT (time or point)].”,Pilot,ATC,Request,“REQUEST LEVEL CHANGE FROM BUDAPEST CONTROL AT 10:30.”,REQUEST LEVEL FLIGHT ALTITUDE CHANGE FROM,"or FLIGHT LEVEL or ALTITUDE, name of unit, time or point"
12.3.1.2-cc,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Cancel speed restrictions of SID,"“[CLIMB VIA SID TO (level)], CANCEL SPEED RESTRICTION(S).”",ATC,Pilot,Clearance (amendment),—,CLIMB VIA SID CANCEL SPEED RESTRICTION,level
12.3.1.2-cc,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Cancel speed restrictions of SID,"“[CLIMB VIA SID TO (level)], CANCEL SPEED RESTRICTION(S).”",ATC,Pilot,Clearance (amendment),—,CLIMB VIA SID CANCEL SPEED RESTRICTION,level
12.3.1.2-d,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Stop climb or descent,“STOP CLIMB (or DESCENT) AT (level).”,ATC,Pilot,Instruction,“STOP CLIMB AT FL 210.”,STOP CLIMB DESCENT,"or DESCENT, level"
12.3.1.2-d,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Stop climb or descent,“STOP CLIMB (or DESCENT) AT (level).”,ATC,Pilot,Instruction,“STOP CLIMB AT FL 210.”,STOP CLIMB DESCENT,"or DESCENT, level"
12.3.1.2-dd,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Cancel specific speed restrictions of SID,"“[CLIMB VIA SID TO (level)], CANCEL SPEED RESTRICTION(S) AT (point(s)).”",ATC,Pilot,Clearance (amendment),—,CLIMB VIA SID CANCEL SPEED RESTRICTION,"level, point(s"
12.3.1.2-dd,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Cancel specific speed restrictions of SID,"“[CLIMB VIA SID TO (level)], CANCEL SPEED RESTRICTION(S) AT (point(s)).”",ATC,Pilot,Clearance (amendment),—,CLIMB VIA SID CANCEL SPEED RESTRICTION,"level, point(s"
12.3.1.2-e,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Continue climb or descent,“CONTINUE CLIMB (or DESCENT) TO (level).”,ATC,Pilot,Instruction,“CONTINUE CLIMB TO FL 250.”,CONTINUE CLIMB DESCENT,"or DESCENT, level"
12.3.1.2-e,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Continue climb or descent,“CONTINUE CLIMB (or DESCENT) TO (level).”,ATC,Pilot,Instruction,“CONTINUE CLIMB TO FL 250.”,CONTINUE CLIMB DESCENT,"or DESCENT, level"
12.3.1.2-ee,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Cancel speed and level restrictions of SID,"“CLIMB UNRESTRICTED TO (level)” / “CLIMB TO (level), CANCEL LEVEL AND SPEED RESTRICTIONS.”",ATC,Pilot,Clearance (amendment),“CLIMB UNRESTRICTED TO FL 200.”,CLIMB UNRESTRICTED CANCEL LEVEL SPEED RESTRICTIONS,level
12.3.1.2-ee,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Cancel speed and level restrictions of SID,"“CLIMB UNRESTRICTED TO (level)” / “CLIMB TO (level), CANCEL LEVEL AND SPEED RESTRICTIONS.”",ATC,Pilot,Clearance (amendment),“CLIMB UNRESTRICTED TO FL 200.”,CLIMB UNRESTRICTED CANCEL LEVEL SPEED RESTRICTIONS,level
12.3.1.2-f,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Expedite vertical change,“EXPEDITE CLIMB (or DESCENT) [UNTIL PASSING (level)].”,ATC,Pilot,Urgent Instruction,“EXPEDITE CLIMB UNTIL PASSING FL 180.”,EXPEDITE CLIMB DESCENT UNTIL PASSING,"or DESCENT, level"
12.3.1.2-f,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Expedite vertical change,“EXPEDITE CLIMB (or DESCENT) [UNTIL PASSING (level)].”,ATC,Pilot,Urgent Instruction,“EXPEDITE CLIMB UNTIL PASSING FL 180.”,EXPEDITE CLIMB DESCENT UNTIL PASSING,"or DESCENT, level"
12.3.1.2-ff,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Clearance to descend via STAR with restrictions,“DESCEND VIA STAR TO (level).”,ATC,Pilot,Clearance,“DESCEND VIA STAR TO FL 100.”,DESCEND VIA STAR,level
12.3.1.2-ff,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Clearance to descend via STAR with restrictions,“DESCEND VIA STAR TO (level).”,ATC,Pilot,Clearance,“DESCEND VIA STAR TO FL 100.”,DESCEND VIA STAR,level
12.3.1.2-g,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",When convenient change of level,“WHEN READY CLIMB (or DESCEND) TO (level).”,ATC,Pilot,Clearance (conditional),“WHEN READY DESCEND TO FL 120.”,WHEN READY CLIMB DESCEND,"or DESCEND, level"
12.3.1.2-g,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,When convenient change of level,“WHEN READY CLIMB (or DESCEND) TO (level).”,ATC,Pilot,Clearance (conditional),“WHEN READY DESCEND TO FL 120.”,WHEN READY CLIMB DESCEND,"or DESCEND, level"
12.3.1.2-gg,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Cancel level restrictions of STAR,"“[DESCEND VIA STAR TO (level)], CANCEL LEVEL RESTRICTION(S).”",ATC,Pilot,Clearance (amendment),—,DESCEND VIA STAR CANCEL LEVEL RESTRICTION,level
12.3.1.2-gg,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Cancel level restrictions of STAR,"“[DESCEND VIA STAR TO (level)], CANCEL LEVEL RESTRICTION(S).”",ATC,Pilot,Clearance (amendment),—,DESCEND VIA STAR CANCEL LEVEL RESTRICTION,level
12.3.1.2-h,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Expected climb/descent at specified time,“EXPECT CLIMB (or DESCENT) AT (time or point).”,ATC,Pilot,Information,“EXPECT DESCENT AT 11:25.”,EXPECT CLIMB DESCENT,"or DESCENT, time or point"
12.3.1.2-h,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Expected climb/descent at specified time,“EXPECT CLIMB (or DESCENT) AT (time or point).”,ATC,Pilot,Information,“EXPECT DESCENT AT 11:25.”,EXPECT CLIMB DESCENT,"or DESCENT, time or point"
12.3.1.2-hh,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Cancel specific level restrictions of STAR at points,"“[DESCEND VIA STAR TO (level)], CANCEL LEVEL RESTRICTION(S) AT (point(s)).”",ATC,Pilot,Clearance (amendment),—,DESCEND VIA STAR CANCEL LEVEL RESTRICTION,"level, point(s"
12.3.1.2-hh,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Cancel specific level restrictions of STAR at points,"“[DESCEND VIA STAR TO (level)], CANCEL LEVEL RESTRICTION(S) AT (point(s)).”",ATC,Pilot,Clearance (amendment),—,DESCEND VIA STAR CANCEL LEVEL RESTRICTION,"level, point(s"
12.3.1.2-i,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Requesting descent at time,“REQUEST DESCENT AT (time).”,Pilot,ATC,Request,“REQUEST DESCENT AT 11:40.”,REQUEST DESCENT,time
12.3.1.2-i,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Requesting descent at time,“REQUEST DESCENT AT (time).”,Pilot,ATC,Request,“REQUEST DESCENT AT 11:40.”,REQUEST DESCENT,time
12.3.1.2-ii,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Cancel speed restrictions of STAR,"“[DESCEND VIA STAR TO (level)], CANCEL SPEED RESTRICTION(S).”",ATC,Pilot,Clearance (amendment),—,DESCEND VIA STAR CANCEL SPEED RESTRICTION,level
12.3.1.2-ii,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Cancel speed restrictions of STAR,"“[DESCEND VIA STAR TO (level)], CANCEL SPEED RESTRICTION(S).”",ATC,Pilot,Clearance (amendment),—,DESCEND VIA STAR CANCEL SPEED RESTRICTION,level
12.3.1.2-j,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Action required immediately,“IMMEDIATELY.”,ATC,Pilot,Urgent Directive,“DESCEND IMMEDIATELY.”,IMMEDIATELY,
12.3.1.2-j,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Action required immediately,“IMMEDIATELY.”,ATC,Pilot,Urgent Directive,“DESCEND IMMEDIATELY.”,IMMEDIATELY,
12.3.1.2-jj,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Cancel specific speed restrictions of STAR at points,"“[DESCEND VIA STAR TO (level)], CANCEL SPEED RESTRICTION(S) AT (point(s)).”",ATC,Pilot,Clearance (amendment),—,DESCEND VIA STAR CANCEL SPEED RESTRICTION,"level, point(s"
12.3.1.2-jj,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Cancel specific speed restrictions of STAR at points,"“[DESCEND VIA STAR TO (level)], CANCEL SPEED RESTRICTION(S) AT (point(s)).”",ATC,Pilot,Clearance (amendment),—,DESCEND VIA STAR CANCEL SPEED RESTRICTION,"level, point(s"
12.3.1.2-k,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Action after passing point,“AFTER PASSING (significant point).”,ATC,Pilot,Conditional Instruction,“CLIMB AFTER PASSING VOR PEST.”,AFTER PASSING,significant point
12.3.1.2-k,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Action after passing point,“AFTER PASSING (significant point).”,ATC,Pilot,Conditional Instruction,“CLIMB AFTER PASSING VOR PEST.”,AFTER PASSING,significant point
12.3.1.2-kk,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Cancel both speed and level restrictions of STAR,"“DESCEND UNRESTRICTED TO (level)” / “DESCEND TO (level), CANCEL LEVEL AND SPEED RESTRICTIONS.”",ATC,Pilot,Clearance (amendment),“DESCEND UNRESTRICTED TO FL 70.”,DESCEND UNRESTRICTED CANCEL LEVEL SPEED RESTRICTIONS,level
12.3.1.2-kk,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Cancel both speed and level restrictions of STAR,"“DESCEND UNRESTRICTED TO (level)” / “DESCEND TO (level), CANCEL LEVEL AND SPEED RESTRICTIONS.”",ATC,Pilot,Clearance (amendment),“DESCEND UNRESTRICTED TO FL 70.”,DESCEND UNRESTRICTED CANCEL LEVEL SPEED RESTRICTIONS,level
12.3.1.2-l,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Action at time or point,“AT (time or significant point).”,ATC,Pilot,Conditional,“TURN AT TIME 12:30.”,,time or significant point
12.3.1.2-l,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Action at time or point,“AT (time or significant point).”,ATC,Pilot,Conditional,“TURN AT TIME 12:30.”,,time or significant point
12.3.1.2-m,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Action when convenient,“WHEN READY (instruction).”,ATC,Pilot,Flexible Instruction,“WHEN READY CLIMB.”,WHEN READY,instruction
12.3.1.2-m,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Action when convenient,“WHEN READY (instruction).”,ATC,Pilot,Flexible Instruction,“WHEN READY CLIMB.”,WHEN READY,instruction
12.3.1.2-n,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Maintain own separation and VMC (from–to level),“MAINTAIN OWN SEPARATION AND VMC [FROM (level)] [TO (level)].”,ATC,Pilot,Clearance (conditional VMC),“MAINTAIN OWN SEPARATION AND VMC FROM FL 100 TO FL 160.”,MAINTAIN OWN SEPARATION VMC FROM,level
12.3.1.2-n,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Maintain own separation and VMC (from–to level),“MAINTAIN OWN SEPARATION AND VMC [FROM (level)] [TO (level)].”,ATC,Pilot,Clearance (conditional VMC),“MAINTAIN OWN SEPARATION AND VMC FROM FL 100 TO FL 160.”,MAINTAIN OWN SEPARATION VMC FROM,level
12.3.1.2-o,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Maintain own separation above/below/to level,"“MAINTAIN OWN SEPARATION AND VMC ABOVE (or BELOW, or TO) (level).”",ATC,Pilot,Clearance (VMC),“MAINTAIN OWN SEPARATION AND VMC BELOW FL 90.”,MAINTAIN OWN SEPARATION VMC ABOVE BELOW,"or BELOW, or TO, level"
